config_id,duration,val,train,test,model_name,dataset_name,dataset_id,hp
33,989.7381565570831,0.8070709435729337,0.8122,0.8042845675296006,cocktails_smac_preprocess,electricity,44120,random search
21,1198.2943856716156,0.8051978459377195,0.9194,0.8087497491471002,cocktails_smac_preprocess,electricity,44120,random search
38,769.0013937950134,0.8194802154062281,0.8771,0.8226971703792896,cocktails_smac_preprocess,electricity,44120,random search (sorted)
26,1256.7940788269043,0.8139779911027862,0.889,0.8165261890427453,cocktails_smac_preprocess,electricity,44120,random search (sorted)
28,1271.2664642333984,0.8176071177710138,0.8732,0.8215934176199077,cocktails_smac_preprocess,electricity,44120,random search
35,1294.8961763381958,0.8153828143291969,0.8731,0.8191852297812563,cocktails_smac_preprocess,electricity,44120,random search (sorted)
39,1313.300223827362,0.8262701943338796,0.9634,0.8304736102749348,cocktails_smac_preprocess,electricity,44120,random search (sorted)
36,1621.7508661746979,0.817490049168813,0.8395,0.8166265302026892,cocktails_smac_preprocess,electricity,44120,random search (sorted)
42,907.7746074199677,0.8215874502458441,0.8849,0.8242524583584186,cocktails_smac_preprocess,electricity,44120,random search
41,990.1027944087982,0.8221727932568486,0.8704,0.8243527995183624,cocktails_smac_preprocess,electricity,44120,random search (sorted)
43,908.1465013027191,0.8206509014282369,0.8802,0.8232992173389524,cocktails_smac_preprocess,electricity,44120,random search (sorted)
30,1888.7837257385254,0.7657457269960196,0.7777,0.766807144290588,cocktails_smac_preprocess,electricity,44120,random search
34,1828.665494441986,0.7700772652774526,0.7818,0.7706201083684527,cocktails_smac_preprocess,electricity,44120,random search
44,960.8095824718475,0.8102317958323577,0.8303,0.8122115191651615,cocktails_smac_preprocess,electricity,44120,random search
31,1903.8560783863068,0.7779208616249123,0.786,0.7787477423239013,cocktails_smac_preprocess,electricity,44120,random search
47,851.0075018405914,0.8050807773355186,0.8172,0.8051374673891231,cocktails_smac_preprocess,electricity,44120,random search (sorted)
48,824.8290178775787,0.7678529618356357,0.7701,0.7719747140276941,cocktails_smac_preprocess,electricity,44120,random search
40,1255.585725069046,0.800398033247483,0.8083,0.7997692153321292,cocktails_smac_preprocess,electricity,44120,random search
49,965.3296599388123,0.8234605478810583,0.8724,0.8241019466185029,cocktails_smac_preprocess,electricity,44120,local search
46,1098.9664402008057,0.8124560992741746,0.8252,0.807746337547662,cocktails_smac_preprocess,electricity,44120,random search
50,983.7148118019104,0.8151486771247951,0.8357,0.8156231186032511,cocktails_smac_preprocess,electricity,44120,random search (sorted)
51,990.4838931560516,0.7838913603371576,0.7871,0.7863736704796307,cocktails_smac_preprocess,electricity,44120,random search
52,1015.1666038036346,0.8115195504565675,0.8247,0.8122616897451335,cocktails_smac_preprocess,electricity,44120,random search (sorted)
53,892.7684400081635,0.8198314212128307,0.8755,0.8225466586393738,cocktails_smac_preprocess,electricity,44120,random search
55,800.7454535961151,0.8150316085225943,0.8316,0.8117098133654425,cocktails_smac_preprocess,electricity,44120,local search
45,1626.749819278717,0.8104659330367595,0.8204,0.8105057194461168,cocktails_smac_preprocess,electricity,44120,random search (sorted)
56,819.1130192279816,0.8298993210021073,0.9504,0.8299217338952438,cocktails_smac_preprocess,electricity,44120,random search (sorted)
57,884.3316338062286,0.8222898618590494,0.9512,0.8281657635962272,cocktails_smac_preprocess,electricity,44120,random search
54,1097.8150849342346,0.8077733551861391,0.8185,0.8073951434878587,cocktails_smac_preprocess,electricity,44120,random search
59,942.4100716114044,0.8114024818543667,0.831,0.8117098133654425,cocktails_smac_preprocess,electricity,44120,local search
58,945.5003387928009,0.8054319831421213,0.8197,0.8051876379690949,cocktails_smac_preprocess,electricity,44120,random search (sorted)
