config_id,duration,val,train,test,model_name,dataset_name,dataset_id,hp
28,859.6131134033203,0.8090611098103488,0.9754,0.8190347180413405,cocktails_smac,electricity,44120,random search
17,1861.6475825309753,0.7556778272067431,0.7811,0.7637969094922737,cocktails_smac,electricity,44120,random search
24,988.7815296649933,0.8063685319597284,0.826,0.8126128838049368,cocktails_smac,electricity,44120,random search (sorted)
20,1904.1281762123108,0.7637555607586045,0.7801,0.7706201083684527,cocktails_smac,electricity,44120,random search
27,972.8969995975494,0.8186607351908218,0.9413,0.8258077463375476,cocktails_smac,electricity,44120,random search
23,1097.4311254024506,0.8050807773355186,0.9301,0.8065422436283364,cocktails_smac,electricity,44120,random search (sorted)
21,1150.1128299236298,0.7907984078670101,0.8079,0.7952036925546859,cocktails_smac,electricity,44120,random search
14,1976.756281375885,0.7769843128073051,0.7884,0.7838149709010637,cocktails_smac,electricity,44120,random search
9,2045.0947923660278,0.7617653945211894,0.7708,0.7691149909692956,cocktails_smac,electricity,44120,random search
33,828.0356066226959,0.8138609225005854,0.8721,0.8192354003612282,cocktails_smac,electricity,44120,random search
31,1097.7251014709473,0.8117536876609693,0.8527,0.8158238009231387,cocktails_smac,electricity,44120,random search
22,1287.5843305587769,0.8133926480917818,0.9739,0.818282159341762,cocktails_smac,electricity,44120,random search (sorted)
30,1164.8731520175934,0.808944041208148,0.9136,0.810957254665864,cocktails_smac,electricity,44120,random search
32,1036.1265766620636,0.8199484898150317,0.8865,0.8236002408187839,cocktails_smac,electricity,44120,random search
36,832.8943128585815,0.8136267852961836,0.8553,0.8201886413806944,cocktails_smac,electricity,44120,random search (sorted)
37,809.9380705356598,0.8207679700304379,0.8986,0.8218944410997391,cocktails_smac,electricity,44120,random search (sorted)
38,906.9642360210419,0.8111683446499649,0.8678,0.8203391531206101,cocktails_smac,electricity,44120,random search
42,858.3959147930145,0.7958323577616483,0.8154,0.8032811559301626,cocktails_smac,electricity,44120,random search
43,909.7141070365906,0.8149145399203933,0.8817,0.8192354003612282,cocktails_smac,electricity,44120,random search
45,881.9905993938446,0.8228752048700538,0.876,0.8244531406783062,cocktails_smac,electricity,44120,random search (sorted)
47,974.2049231529236,0.804612502926715,0.8156,0.8092012843668472,cocktails_smac,electricity,44120,random search (sorted)
46,1013.767758846283,0.8157340201357995,0.8533,0.8238510937186434,cocktails_smac,electricity,44120,random search (sorted)
35,1535.566784620285,0.8077733551861391,0.8267,0.8131145896046559,cocktails_smac,electricity,44120,random search (sorted)
41,1172.9652667045593,0.816319363146804,0.8817,0.8180313064419025,cocktails_smac,electricity,44120,random search (sorted)
50,930.6792480945587,0.8112854132521657,0.8314,0.8156732891832229,cocktails_smac,electricity,44120,random search
52,991.2694146633148,0.8137438538983844,0.8512,0.8201886413806944,cocktails_smac,electricity,44120,local search
34,1933.8906202316284,0.8105830016389605,0.9372,0.8127132249648806,cocktails_smac,electricity,44120,random search
51,1065.9100823402405,0.8014516506672911,0.8168,0.8087497491471002,cocktails_smac,electricity,44120,random search
53,1048.6266829967499,0.8199484898150317,0.8736,0.8241019466185029,cocktails_smac,electricity,44120,local search
