,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
46,40996,Fashion-MNIST,70000.0,784.0,0.0,1.0,0.0,0.0,0.987952380952381,,,,,,,14000.0,False,
47,40997,jungle_chess_2pcs_endgame_panther_lion,4704.0,46.0,26.0,5.0,0.0,0.0,0.9924713584288052,,,,,,,4072.0,False,
48,41000,jungle_chess_2pcs_endgame_panther_elephant,4704.0,46.0,26.0,4.0,0.0,0.0,0.7875930521091813,,,,,,,4028.0,False,
49,41002,,,,,,,,,,,,,,,,,
50,41039,EMNIST_Balanced,131600.0,784.0,0.0,77.0,0.0,0.0,0.9864366448542532,,,,,,,5600.0,False,
51,41163,dilbert,10000.0,2000.0,0.0,0.0,0.0,0.0,0.9998371335504884,,,,,,,4092.0,False,
52,41164,fabert,8237.0,800.0,0.0,58.0,0.0,0.0,0.9632563256325632,,,,,,,3030.0,False,
53,41166,volkert,58310.0,180.0,0.0,33.0,0.0,0.0,0.9880816123413784,,,,,,,23038.0,False,
54,41168,jannis,83733.0,54.0,0.0,0.0,0.0,0.0,0.72536,,,,,,,57580.0,False,
55,41169,helena,65196.0,27.0,0.0,0.0,0.0,0.0,0.9637649619151252,,,,,,,6126.0,False,
56,41671,microaggregation2,20000.0,20.0,0.0,10.0,0.0,0.0,0.6637918215613382,,,,,,,8964.0,False,
57,41972,Indian_pines,9144.0,220.0,0.0,0.0,0.0,0.0,0.907323568575233,,,,,,,5004.0,False,
58,41982,Kuzushiji-MNIST,70000.0,784.0,0.0,0.0,0.0,0.0,0.9765238095238096,,,,,,,14000.0,False,
59,41986,GTSRB-HOG01,51839.0,1568.0,0.0,0.0,0.0,0.0,0.9878684807256236,,,,,,,5880.0,False,
60,41988,GTSRB-HOG02,51839.0,1568.0,0.0,0.0,0.0,0.0,0.9924036281179138,,,,,,,5880.0,False,
61,41989,GTSRB-HOG03,51839.0,2916.0,0.0,0.0,0.0,0.0,0.986621315192744,,,,,,,5880.0,False,
62,42468,hls4ml_lhc_jets_hlf,830000.0,16.0,0.0,0.0,0.0,0.0,0.8986733333333333,,,,,,,334250.0,False,
63,42746,KDDCup99,4898431.0,41.0,9.0,5.0,0.0,0.0,0.9997666666666668,,,,,,,2144034.0,False,
