,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
15,257,BNG(colic),1000000,22,15,0,0,0,,0.6449133333333334,0.6883866666666667,0.5899000000000001,0.6793333333333333,0.6776333333333333,,739558,False
16,258,BNG(credit-a),1000000,15,9,0,0,0,,0.74086,0.8007133333333334,0.7172866666666666,0.7808066666666666,0.7888066666666667,,891984,False
17,261,BNG(pendigits),1000000,16,0,0,0,0,,0.9896,0.9940866666666667,0.9871000000000001,0.9934133333333334,0.9941333333333333,,208286,False
18,266,BNG(heart-c),1000000,13,7,1,0,0,,0.7385333333333334,0.76486,0.6816000000000001,0.7580333333333333,0.7538333333333334,,907206,False
19,267,BNG(heart-statlog),1000000,13,0,4,0,0,,0.7894,0.8162933333333333,0.7417333333333332,0.8116866666666667,0.8105666666666667,,888108,False
20,269,BNG(hepatitis),1000000,19,13,0,0,0,,0.7590600000000001,0.79586,0.7118266666666667,0.7871666666666667,0.7878,,415634,False
21,271,BNG(waveform-5000),1000000,40,0,0,0,0,,0.9297866666666665,0.9326466666666666,0.8767999999999999,0.91014,0.9298133333333333,,661984,False
22,279,meta_stream_intervals.arff,45164,74,0,1,0,0,,0.9726452340665539,0.9969543147208121,0.9954314720812183,0.9919345741680766,0.9965595036661027,,11818,False
23,351,codrna,488565,8,0,0,0,0,,0.9528399999999999,0.9635666666666667,0.9318799999999999,0.9630733333333333,0.95746,,325710,False
24,357,vehicle_sensIT,98528,100,0,0,0,0,,0.8577933333333334,0.8685,0.7824933333333333,0.8291933333333332,0.8628866666666667,,98528,False
25,554,mnist_784,70000,784,0,110,0,0,,0.9945155393053018,0.9953839122486288,0.9884826325411336,0.9946526508226692,0.9961608775137112,,14586,False
26,720,abalone,4177,8,1,0,0,0,,0.7831865492393915,0.7788630904723778,0.7143314651721376,0.7932746196957565,0.7844675740592474,,4162,False
27,725,bank8FM,8192,8,0,1,0,0,,0.9381360201511335,0.9350125944584382,0.9082115869017633,0.9408564231738035,0.9357178841309824,,6614,False
28,734,ailerons,13750,40,0,7,0,0,,0.8773234200743494,0.8867028881898771,0.8304832713754647,0.8738919073491564,0.8719473834715471,,11656,False
29,735,cpu_small,8192,12,0,0,0,0,,0.9045057162071284,0.9159381304640215,0.8655010087424344,0.9141896435776731,0.9172831203765972,,4954,False
30,737,space_ga,3107,6,0,0,0,0,,0.8324324324324325,0.8484324324324325,0.7591351351351352,0.8592432432432432,0.8337297297297297,,3082,False
31,761,cpu_act,8192,21,0,0,0,0,,0.9245460659045058,0.9320780094149294,0.8883658372562205,0.9305985205110963,0.9276395427034296,,4954,False
32,803,delta_ailerons,7129,5,0,0,0,0,,0.9393426294820717,0.9435258964143426,0.9107569721115537,0.9423306772908366,0.9446215139442232,,6692,False
33,816,puma8NH,8192,8,0,0,0,0,,0.8274621986105435,0.8263996730690641,0.760114425827544,0.8322026971802208,0.8294237842255823,,8156,False
34,819,delta_elevators,9517,6,0,1,0,0,,0.8823239436619719,0.8789436619718309,0.821338028169014,0.8804929577464791,0.8778169014084506,,9464,False
35,823,houses,20640,8,0,0,0,0,,0.9629463451112358,0.9826135726303982,0.97573378201533,0.9821648906337634,0.9832492054589641,,17828,False
36,833,bank32nh,8192,32,0,4,0,0,,0.8002621231979031,0.7844036697247707,0.6993446920052424,0.7699868938401049,0.7792922673656618,,5086,False
37,846,elevators,16599,18,0,2,0,0,,0.8696979538811302,0.8582007145177005,0.7537512179278986,0.8773627801234166,0.8268918480025983,,10260,False
38,847,wind,6574,14,0,0,0,0,,0.8488069414316703,0.8601952277657267,0.7911062906724512,0.8656182212581346,0.8569414316702819,,6146,False
39,871,pollen,3848,5,0,0,0,0,,0.4902164502164502,0.49991341991341987,0.49160173160173165,0.4891774891774892,0.4936796536796537,,3848,False
40,976,JapaneseVowels,9961,14,0,0,0,0,,0.9531475748194014,0.9830753353973168,0.9525283797729618,0.9857585139318885,0.9834881320949431,,3228,False
41,979,waveform-5000,5000,40,0,0,0,0,,0.8663385826771653,0.8783464566929136,0.80748031496063,0.8710629921259843,0.8820866141732283,,3384,False
42,1053,jm1,10885,21,0,0,0,5,,0.6535657686212362,0.6587955625990491,0.6158478605388272,0.6567353407290015,0.6613312202852615,,4206,False
43,1110,KDDCup99_full,4898431,41,7,6,0,0,,0.9999933333333333,1.0,0.9999666666666667,0.9999666666666667,1.0,,2144034,False
44,1113,KDDCup99,494020,41,7,7,0,0,,0.9999933333333333,1.0,0.99996,1.0,1.0,,214402,False
45,1119,adult-census,32561,14,8,0,0,0,,0.743039319872476,0.7730499468650371,0.6894367693942615,0.7608926673751328,0.7362380446333687,,15682,False
46,1181,BNG(spectf_test),1000000,44,0,0,0,0,,0.6711733333333333,0.7186666666666666,0.6209266666666666,0.6116333333333334,0.6858000000000001,,430380,False
47,1183,BNG(satimage),1000000,36,0,0,0,0,,0.9900400000000001,0.9942733333333333,0.9664866666666667,0.992,0.9916600000000001,,468272,False
48,1185,BNG(wine),1000000,13,0,0,0,0,,0.9490133333333333,0.9680933333333333,0.9450800000000001,0.9581799999999999,0.9661733333333332,,642542,False
49,1205,BNG(Australian),1000000,14,0,2,0,0,,0.71734,0.78456,0.7019200000000001,0.7479733333333334,0.7782,,853898,False
50,1209,BNG(vowel),1000000,12,2,0,0,0,,0.8513466666666666,0.9175733333333334,0.8524666666666667,0.9095533333333332,0.9098066666666667,,182326,False
51,1212,BNG(SPECTF),1000000,44,0,0,0,0,,0.6871200000000001,0.7398133333333334,0.6585133333333334,0.6347666666666667,0.7118666666666666,,562600,False
52,1214,BNG(JapaneseVowels),1000000,14,0,0,0,0,,0.9641333333333332,0.9735266666666667,0.9424466666666668,0.9697199999999999,0.9714666666666666,,294022,False
53,1216,Click_prediction_small,1496391,9,0,2,0,0,,0.56562,0.6173533333333333,0.5586400000000001,0.5960533333333334,0.6052733333333333,,133562,False
54,1218,Click_prediction_small,1997410,11,0,2,0,0,,0.5765933333333334,0.6301666666666667,0.5654466666666667,0.6034466666666667,0.6202266666666667,,666008,False
55,1219,Click_prediction_small,399482,11,0,2,0,0,,0.5830866666666668,0.63084,0.5635733333333333,0.60566,0.6175933333333334,,134178,False
56,1222,letter-challenge-unlabeled.arff,20000,16,0,0,0,0,,0.5560313075506447,0.5766574585635359,0.5576887661141804,0.5746777163904235,0.5773480662983426,,14480,False
57,1226,Click_prediction_small,798964,9,0,2,0,0,,0.5070466666666665,0.5060199999999999,0.49322,0.5041533333333333,0.49350000000000005,,664786,False
58,1240,AirlinesCodrnaAdult,1076790,29,16,0,0,0,,0.7483133333333333,0.76988,0.7173200000000001,0.7692666666666665,0.7518133333333333,,947304,False
59,1241,codrnaNorm,488565,8,0,0,0,0,,0.9536266666666666,0.9643533333333334,0.9333,0.9638266666666666,0.9581933333333333,,325710,False
60,1242,vehicleNorm,98528,100,0,0,0,0,,0.8571933333333333,0.8673933333333335,0.7812866666666667,0.8318133333333334,0.8624333333333333,,98528,False
61,1351,"BNG(anneal,1000,1)",1000000,38,32,0,0,0,,0.6555799999999999,0.68636,0.5896133333333333,0.6770466666666667,0.6566266666666667,,220680,False
62,1352,"BNG(anneal,1000,5)",1000000,38,32,0,0,0,,0.6188333333333335,0.6303666666666666,0.55378,0.6221266666666667,0.60194,,220680,False
63,1353,"BNG(anneal,1000,10)",1000000,38,32,0,0,0,,0.5840266666666667,0.5964533333333334,0.5307066666666665,0.5920666666666666,0.5684400000000001,,220680,False
64,1354,"BNG(anneal,5000,1)",1000000,38,32,0,0,0,,0.6886333333333333,0.7643466666666667,0.668,0.7586933333333334,0.7308066666666667,,220680,False
65,1355,"BNG(anneal,5000,5)",1000000,38,32,0,0,0,,0.6554133333333333,0.6866733333333332,0.5910866666666668,0.67526,0.6569799999999999,,220680,False
66,1356,"BNG(anneal,5000,10)",1000000,38,32,0,0,0,,0.6770866666666666,0.6802866666666667,0.5898733333333335,0.6757066666666667,0.65742,,220680,False
67,1357,"BNG(anneal,10000,1)",1000000,38,32,0,0,0,,0.6977333333333334,0.7817333333333333,0.69116,0.7756466666666666,0.7507066666666666,,220680,False
68,1358,"BNG(anneal,10000,5)",1000000,38,32,0,0,0,,0.6700866666666667,0.7240466666666666,0.6256999999999999,0.7135333333333334,0.6914133333333334,,220680,False
69,1359,"BNG(anneal,10000,10)",1000000,38,32,0,0,0,,0.6583533333333333,0.6883,0.5916466666666668,0.6781133333333333,0.6586533333333333,,220680,False
70,1360,"BNG(anneal.ORIG,1000,1)",1000000,38,32,0,0,0,,0.6375133333333334,0.6863266666666666,0.5919800000000001,0.6768333333333334,0.65664,,220680,False
71,1361,"BNG(anneal.ORIG,1000,5)",1000000,38,32,0,0,0,,0.61814,0.6377733333333333,0.5558000000000001,0.6287066666666666,0.6093266666666667,,220680,False
72,1362,"BNG(anneal.ORIG,1000,10)",1000000,38,32,0,0,0,,0.5895199999999999,0.5901799999999999,0.5248600000000001,0.5849933333333334,0.55964,,220680,False
73,1363,"BNG(anneal.ORIG,5000,1)",1000000,38,32,0,0,0,,0.6927800000000001,0.7743533333333332,0.69028,0.7692,0.7484133333333334,,220680,False
74,1364,"BNG(anneal.ORIG,5000,5)",1000000,38,32,0,0,0,,0.63758,0.6868466666666666,0.5949133333333333,0.67712,0.6565133333333334,,220680,False
75,1365,"BNG(anneal.ORIG,5000,10)",1000000,38,32,0,0,0,,0.6395533333333333,0.6938266666666666,0.5986133333333333,0.6853666666666667,0.6711533333333333,,220680,False
76,1366,"BNG(anneal.ORIG,10000,1)",1000000,38,32,0,0,0,,0.7324866666666667,0.8386666666666667,0.7680600000000001,0.8345800000000001,0.8172733333333333,,220680,False
77,1368,"BNG(anneal.ORIG,10000,10)",1000000,38,32,0,0,0,,0.6404933333333334,0.6908066666666666,0.5966266666666666,0.6801466666666667,0.6590733333333333,,220680,False
78,1393,"BNG(autos,1000,1)",1000000,25,10,0,0,0,,0.62924,0.7441733333333334,0.6305333333333334,0.6932533333333333,0.7235266666666667,,521888,False
79,1394,"BNG(autos,1000,5)",1000000,25,10,0,0,0,,0.5707733333333332,0.6546066666666667,0.5624866666666667,0.6032666666666666,0.6335066666666667,,521888,False
80,1395,"BNG(autos,1000,10)",1000000,25,10,0,0,0,,0.5436333333333333,0.59292,0.5259400000000001,0.5481733333333333,0.5757533333333333,,521888,False
81,1476,gas-drift,13910,128,0,0,0,0,,0.998519362186788,0.9979498861047835,0.9931662870159453,0.998633257403189,0.9980637813211845,,5852,False
82,1477,gas-drift-different-concentrations,13910,129,0,0,0,0,,0.9982915717539862,0.9974943052391799,0.9937357630979499,0.998633257403189,0.9977220956719817,,5852,False
83,1478,har,10299,561,0,0,0,0,,1.0,0.9996503496503497,1.0,0.9993006993006993,1.0,,3812,False
84,1486,nomao,34465,118,29,15,0,0,,0.9286270526493992,0.9644828169967834,0.938953783646521,0.9544608092094127,0.9625529033350263,,19688,False
85,1503,spoken-arabic-digit,263256,14,0,0,0,0,,0.5192866666666667,0.5274666666666666,0.52324,0.5353333333333333,0.5652133333333332,,52932,False
86,1507,twonorm,7400,20,0,0,0,0,,0.9764758900405589,0.9676430824695809,0.8414601171698963,0.9697160883280758,0.9689049121225777,,7394,False
87,1526,wall-robot-navigation,5456,4,0,0,0,0,,0.9720413026211279,0.9996822875297855,1.0,0.9926926131850674,1.0,,4194,False
88,1590,adult,48842,14,8,0,0,0,,0.7418915691425841,0.7744685932648674,0.7038452352519704,0.7565798901361356,0.7373775973250538,,23374,False
89,1596,covertype,581012,54,44,0,0,0,,0.7633933333333334,0.8180866666666666,0.7820933333333334,0.7940933333333333,0.8436733333333333,,423680,False
90,4134,Bioresponse,3751,1776,0,522,0,0,,0.7487875848690593,0.7829291949563532,0.6973811833171678,0.7738118331716779,0.7840931134820562,,3434,False
91,4541,Diabetes130US,101766,49,36,2,0,0,,0.6173266666666667,0.6544333333333333,0.5726933333333334,0.6324333333333334,0.6400533333333334,,71090,False
92,23517,numerai28.6,96320,21,0,0,0,0,,0.5177466666666667,0.5104666666666666,0.5004466666666667,0.5055866666666666,0.5089666666666668,,95324,False
93,40685,shuttle,58000,9,0,0,0,0,,0.9803444402845376,1.0,0.999850243354549,0.9997379258704605,1.0,,17806,False
94,40923,Devnagari-Script,92000,1024,0,240,0,0,,0.9936666666666667,0.9973333333333334,0.986,0.998,0.9974999999999999,,4000,False
95,40996,Fashion-MNIST,70000,784,0,1,0,0,,0.9980952380952381,0.9961904761904762,0.9912857142857143,0.9982857142857144,0.9974761904761905,,14000,False
96,40997,jungle_chess_2pcs_endgame_panther_lion,4704,46,26,5,0,0,,0.946317512274959,0.9949263502454991,0.9909983633387889,0.9887070376432078,0.9954173486088379,,4072,False
97,41000,jungle_chess_2pcs_endgame_panther_elephant,4704,46,26,4,0,0,,0.7887510339123243,0.7454094292803971,0.7075268817204301,0.7861042183622828,0.7265508684863524,,4028,False
98,41002,jungle_chess_2pcs_endgame_rat_panther,5880,46,26,4,0,1176,,0.9255429162357809,0.9565667011375387,0.9516028955532576,0.9673216132368149,0.9567735263702172,,3222,False
99,41039,EMNIST_Balanced,131600,784,0,77,0,0,,0.9913146936347413,0.9942891136228436,0.9733491969066032,0.9951219512195122,0.9928613920285544,,5600,False
100,41146,sylvine,5124,20,0,0,0,0,,0.9200260078023407,0.9522756827048113,0.9109232769830949,0.9282184655396619,0.9423927178153445,,5124,False
101,41147,albert,425240,78,52,0,11,201038,,0.6052333333333333,0.6316866666666667,0.55016,0.6208,0.62486,,202948,False
102,41162,kick,72983,32,18,0,0,383,,0.6144645860586806,0.6312091197906934,0.5705475612035134,0.650943748831994,0.6327415436367034,,17836,False
103,41163,dilbert,10000,2000,0,0,0,0,,0.9996742671009772,0.999185667752443,0.9859934853420196,0.9996742671009772,0.9995114006514658,,4092,False
104,41164,fabert,8237,800,0,58,0,0,,0.9702970297029703,0.9482948294829484,0.9575357535753575,0.968976897689769,0.9617161716171617,,3030,False
105,41166,volkert,58310,180,0,33,0,0,,0.9881811395869619,0.9889524757402339,0.9733515799950236,0.9894749937795471,0.9858671311271461,,23038,False
106,41168,jannis,83733,54,0,0,0,0,,0.7274866666666667,0.7784133333333333,0.6791466666666667,0.7233066666666668,0.7713533333333334,,57580,False
107,41169,helena,65196,27,0,0,0,0,,0.9659412404787812,0.9699673558215451,0.9424374319912949,0.9646354733405875,0.967791077257889,,6126,False
108,41671,microaggregation2,20000,20,0,10,0,0,,0.6562825278810409,0.6410408921933086,0.5680297397769517,0.661189591078067,0.6359851301115242,,8964,False
109,41972,Indian_pines,9144,220,0,0,0,0,,0.8785619174434087,0.8957390146471372,0.7669773635153129,0.9185086551264978,0.866444740346205,,5004,False
110,41982,Kuzushiji-MNIST,70000,784,0,0,0,0,,0.9612380952380952,0.9872380952380952,0.9321428571428572,0.991,0.9862380952380952,,14000,False
111,41986,GTSRB-HOG01,51839,1568,0,0,0,0,,0.9841269841269842,0.9839002267573698,0.9320861678004535,0.9894557823129251,0.9793650793650794,,5880,False
112,41988,GTSRB-HOG02,51839,1568,0,0,0,0,,0.9930839002267573,0.9941043083900226,0.9615646258503402,0.9941043083900227,0.9928571428571427,,5880,False
113,41989,GTSRB-HOG03,51839,2916,0,0,0,0,,0.9853741496598639,0.9871882086167801,0.9266439909297054,0.9887755102040815,0.9845804988662131,,5880,False
114,42206,porto-seguro,595212,37,25,3,0,142164,,0.5648228713486637,0.5668738346799254,0.5168324010772737,0.5608038118914439,0.5474725502382431,,34308,False
115,42343,KDD98,82318,477,136,11,27,8339,,0.5445325465609441,0.5580306103632676,0.5155449013461184,0.5224045731145123,0.5478148626221648,,18076,False
116,42395,SantanderCustomerSatisfaction,200000,201,0,0,0,0,,0.7749801555802508,0.7752500396888395,0.5800365137323384,0.7191062073344975,0.7402841720908081,,40196,False
117,42435,SantanderCustomerSatisfaction,200000,201,1,0,0,0,,0.7749801555802508,0.7752500396888395,0.5800365137323384,0.7191062073344975,0.7402841720908081,,40196,False
118,42468,hls4ml_lhc_jets_hlf,830000,16,0,0,0,0,,0.8879733333333334,0.8961266666666667,0.84284,0.89962,0.8910066666666665,,334250,False
119,42477,default-of-credit-card-clients,30000,23,0,2,0,0,,0.6693119035660472,0.708136614766449,0.6207433450527373,0.7059266700150678,0.699347061778001,,13272,False
120,42742,porto-seguro,595212,57,31,6,0,142164,,0.5634244872591673,0.5655376009944064,0.5140563496996065,0.5341930805883571,0.5572819556660451,,34308,False
121,42746,KDDCup99,4898431,41,9,5,0,0,,0.9999933333333333,1.0,0.9999666666666667,0.9999666666666667,1.0,,2144034,False
122,42750,Census-Income-KDD,199523,41,0,3,0,0,,0.8221425645227367,0.8625768127816468,0.7964563703400246,0.8451249487914788,0.8511880376894716,,24764,False
123,43489,Census-(Augmented),1000000,14,0,0,0,0,,0.7641333333333333,0.7927199999999999,0.7175733333333334,0.7874133333333334,0.7866133333333333,,630668,False
