,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
15,819,delta_elevators,9517,6,0,1,0,0,,0.8823239436619719,0.8789436619718309,0.821338028169014,0.8804929577464791,0.8778169014084506,,9464,False
16,823,houses,20640,8,0,0,0,0,,0.9625475166697824,0.9823019879105127,0.976070293512806,0.9818657693026734,0.9829251573502834,,17828,False
17,833,bank32nh,8192,32,0,4,0,0,,0.8002621231979031,0.7844036697247707,0.6993446920052424,0.7699868938401049,0.7792922673656618,,5086,False
18,846,elevators,16599,18,0,2,0,0,,0.8696979538811302,0.8582007145177005,0.7537512179278986,0.8773627801234166,0.8268918480025983,,10260,False
19,847,wind,6574,14,0,0,0,0,,0.8488069414316703,0.8601952277657267,0.7911062906724512,0.8656182212581346,0.8569414316702819,,6146,False
20,871,pollen,3848,5,0,0,0,0,,0.4902164502164502,0.49991341991341987,0.49160173160173165,0.4891774891774892,0.4936796536796537,,3848,False
21,976,JapaneseVowels,9961,14,0,0,0,0,,0.9531475748194014,0.9830753353973168,0.9525283797729618,0.9857585139318885,0.9834881320949431,,3228,False
22,979,waveform-5000,5000,40,0,0,0,0,,0.8663385826771653,0.8783464566929136,0.80748031496063,0.8710629921259843,0.8820866141732283,,3384,False
23,1053,jm1,10885,21,0,0,0,5,,0.6535657686212362,0.6587955625990491,0.6158478605388272,0.6567353407290015,0.6613312202852615,,4206,False
24,1110,KDDCup99_full,4898431,41,7,6,0,0,,1.0,1.0,1.0,0.9999666666666667,1.0,,2144034,False
25,1113,KDDCup99,494020,41,7,7,0,0,,1.0,1.0,0.9999666666666667,1.0,1.0,,214402,False
26,1119,adult-census,32561,14,8,0,0,0,,0.743039319872476,0.7730499468650371,0.6894367693942615,0.7608926673751328,0.7362380446333687,,15682,False
27,1216,Click_prediction_small,1496391,9,0,2,0,0,,0.5576666666666666,0.6188333333333333,0.5629,0.5976,0.6123,,133562,False
28,1218,Click_prediction_small,1997410,11,0,2,0,0,,0.5721666666666667,0.6258,0.5622333333333334,0.5992,0.6213666666666666,,666008,False
29,1219,Click_prediction_small,399482,11,0,2,0,0,,0.5820666666666666,0.6341666666666667,0.5605,0.6088333333333333,0.6201333333333333,,134178,False
30,1222,letter-challenge-unlabeled.arff,20000,16,0,0,0,0,,0.5560313075506447,0.5766574585635359,0.5576887661141804,0.5746777163904235,0.5773480662983426,,14480,False
